Subject,Condition,RC,CE,probeACC,probeRT
3,3,RC,CE,1,1103.04
3,4,NonRC,CE,0,1802.050783
3,3,RC,CE,1,1518.458744
3,4,NonRC,CE,1,1502.995169
3,3,RC,CE,0,1619.664696
3,2,NonRC,NonCE,1,1252.539053
3,4,NonRC,CE,1,1352.645874
3,1,RC,NonCE,1,1703.150377
3,1,RC,NonCE,1,918.9512657
3,1,RC,NonCE,0,1536.253527
3,2,NonRC,NonCE,1,1302.772251
3,3,RC,CE,1,1719.598686
3,4,NonRC,CE,1,1269.362396
3,2,NonRC,NonCE,1,1119.072154
3,2,NonRC,NonCE,1,1219.200618
3,4,NonRC,CE,1,1885.23285
3,4,NonRC,CE,1,1369.334725
3,3,RC,CE,0,1403.485063
3,4,NonRC,CE,1,952.4538745
3,2,NonRC,NonCE,0,1552.86972
3,4,NonRC,CE,1,919.3262996
3,1,RC,NonCE,1,1184.763053
3,2,NonRC,NonCE,1,1302.673005
3,4,NonRC,CE,1,1318.722473
3,3,RC,CE,0,0
3,2,NonRC,NonCE,1,1084.746512
3,1,RC,NonCE,1,835.6099711
3,2,NonRC,NonCE,1,1269.272116
3,1,RC,NonCE,1,1202.523208
3,4,NonRC,CE,1,1135.749874
3,1,RC,NonCE,1,1386.097778
3,1,RC,NonCE,1,1586.337082
3,1,RC,NonCE,0,785.4775651
3,3,RC,CE,1,1769.769739
3,1,RC,NonCE,0,1335.878802
3,2,NonRC,NonCE,1,1351.120696
3,1,RC,NonCE,1,1034.692638
3,3,RC,CE,1,2036.699208
3,4,NonRC,CE,1,1434.811981
3,4,NonRC,CE,1,1151.465739
3,2,NonRC,NonCE,1,1336.029681
3,2,NonRC,NonCE,1,1936.985353
3,2,NonRC,NonCE,1,1102.573449
3,4,NonRC,CE,1,1202.509913
3,2,NonRC,NonCE,1,1519.603014
3,3,RC,CE,1,1168.062145
3,2,NonRC,NonCE,1,768.6956523
3,3,RC,CE,1,2337.001739
3,2,NonRC,NonCE,1,1786.370473
3,4,NonRC,CE,0,1401.724908
3,4,NonRC,CE,1,968.9739132
3,3,RC,CE,1,1636.218126
3,3,RC,CE,1,735.4215265
3,2,NonRC,NonCE,0,1202.487961
3,3,RC,CE,0,1219.192889
3,1,RC,NonCE,1,852.1915362
3,4,NonRC,CE,1,735.737198
3,4,NonRC,CE,1,1319.356908
3,1,RC,NonCE,1,2353.752116
3,1,RC,NonCE,1,1052.316135
3,2,NonRC,NonCE,1,1019.073855
3,1,RC,NonCE,1,1753.20085
3,3,RC,CE,1,1953.471691
3,2,NonRC,NonCE,1,1653.000966
3,4,NonRC,CE,0,1135.735343
3,2,NonRC,NonCE,1,1168.200039
3,4,NonRC,CE,1,1835.355208
3,1,RC,NonCE,0,1234.984193
3,4,NonRC,CE,1,1085.768348
3,1,RC,NonCE,1,1069.080116
3,2,NonRC,NonCE,1,1352.725024
3,4,NonRC,CE,1,1669.901295
3,3,RC,CE,0,2086.814299
3,1,RC,NonCE,1,1169.089546
6,3,RC,CE,1,1119.126371
6,4,NonRC,CE,1,1351.634877
6,1,RC,NonCE,0,2103.349584
6,3,RC,CE,0,1369.534797
6,4,NonRC,CE,1,1185.835457
6,1,RC,NonCE,0,1402.746499
6,4,NonRC,CE,0,1536.156323
6,2,NonRC,NonCE,1,1919.88522
6,3,RC,CE,1,2103.467072
6,3,RC,CE,1,1185.856482
6,2,NonRC,NonCE,0,2036.407377
6,3,RC,CE,0,1669.638496
6,1,RC,NonCE,1,1485.115812
6,4,NonRC,CE,1,1569.632683
6,1,RC,NonCE,1,2136.781112
6,3,RC,CE,1,2119.134719
6,1,RC,NonCE,1,1935.542974
6,1,RC,NonCE,1,1619.480381
6,1,RC,NonCE,1,1269.001525
6,1,RC,NonCE,1,1502.820949
6,3,RC,CE,0,1970.030967
6,4,NonRC,CE,1,1686.496173
6,3,RC,CE,1,1235.579581
6,2,NonRC,NonCE,1,1035.815917
6,1,RC,NonCE,1,1369.328574
6,2,NonRC,NonCE,1,1636.237576
6,2,NonRC,NonCE,1,2203.566256
6,3,RC,CE,0,2704.57047
6,4,NonRC,CE,1,2971.044765
6,3,RC,CE,1,1636.265402
6,3,RC,CE,1,3154.63311
6,3,RC,CE,0,1836.587752
6,2,NonRC,NonCE,1,1152.6859
6,2,NonRC,NonCE,1,1419.364563
6,4,NonRC,CE,1,1886.642291
6,1,RC,NonCE,1,2420.577472
6,2,NonRC,NonCE,1,1219.221227
6,2,NonRC,NonCE,1,1719.724571
6,4,NonRC,CE,1,1119.239222
6,3,RC,CE,1,1986.679331
6,1,RC,NonCE,1,1936.532965
6,2,NonRC,NonCE,1,1486.213089
6,3,RC,CE,0,2070.156123
6,3,RC,CE,1,2070.045437
6,4,NonRC,CE,1,1502.950805
6,1,RC,NonCE,0,2670.6424
6,2,NonRC,NonCE,1,2053.43603
6,2,NonRC,NonCE,1,1502.046456
6,2,NonRC,NonCE,1,2453.683744
6,4,NonRC,CE,0,2387.018562
6,2,NonRC,NonCE,1,2403.699389
6,2,NonRC,NonCE,1,3021.019227
