Subject,Condition,cType,gType,pType,trialsequence,stimulusNo,word1,word2,word3,word4,word5,word6,wl1,wl2,wl3,wl4,wl5,wl6,probeAns,probeACC,probeRT
2,2,1,0,4,104,77,216.757555,217.010772,233.567608,450.36412,316.634687,317.421547,4,2,2,3,4,3,f,1,1385.770477
1,4,1,2,5,297,206,651.161245,784.022812,349.993538,951.187463,467.253942,417.138525,4,3,3,2,3,4,f,1,701.833183
1,4,3,1,8,267,207,750.742802,633.97121,266.880083,300.358586,566.951132,433.994028,3,3,2,2,3,3,f,1,851.813365
2,2,3,0,2,138,93,200.075811,216.773014,183.602144,216.888338,166.831047,433.700926,3,3,4,3,4,4,j,1,952.015753
1,4,2,3,7,202,209,683.737255,433.697834,467.29599,500.405333,733.989947,400.544588,3,4,3,3,3,2,f,1,768.898402
2,2,2,2,1,118,103,283.607585,233.192574,216.582869,250.788251,266.365918,367.814297,3,3,4,4,3,2,j,1,1068.890611
1,4,3,3,2,322,213,433.884888,734.121657,250.202976,250.243169,784.007972,383.721858,3,3,3,4,3,4,j,1,635.117646
1,1,3,3,2,184,214,533.944436,417.004032,517.10501,483.858391,550.665136,400.197998,3,3,2,3,3,3,j,1,585.014906
2,2,0,1,3,97,104,216.840106,200.191753,250.410435,166.728399,450.445434,233.042623,4,3,2,4,3,3,f,1,1235.714546
2,2,1,3,5,69,112,283.63603,266.833397,267.033744,317.037856,383.729278,350.335799,4,3,2,3,3,3,f,1,885.360815
2,2,0,0,0,38,138,266.894923,266.919348,283.555643,300.441755,366.964056,333.597784,4,2,2,4,2,3,j,1,1602.807839
2,2,0,3,4,169,141,233.498971,333.699813,250.237295,233.669947,300.212962,316.993644,4,4,2,4,3,4,f,1,1402.500144
1,1,2,0,6,317,229,633.872582,467.051739,634.074476,383.624776,534.001015,417.025056,3,3,1,4,2,2,f,1,1052.115804
2,2,2,3,2,164,157,200.410651,216.856492,166.808786,216.875352,199.340892,284.369711,3,3,4,4,3,4,j,1,918.696786
2,2,1,0,0,25,159,400.399583,417.079781,383.830379,400.284568,417.089057,417.184283,4,3,2,3,2,2,j,1,1218.912222
2,2,3,3,8,13,162,366.987244,400.495737,383.701452,417.005578,500.494995,467.135217,3,3,2,3,3,2,f,1,1519.324914
2,2,0,2,3,222,181,433.785641,250.191845,216.86484,250.274705,266.925532,517.196218,4,3,4,4,3,2,f,1,1518.116953
2,2,2,3,7,264,186,216.84969,166.858254,200.171965,200.212158,200.17413,400.523873,3,3,4,4,3,4,f,1,935.421197
2,2,1,1,0,247,242,183.67511,183.453738,166.836921,183.513409,150.220414,216.826193,4,4,2,3,3,4,j,1,784.293962
2,2,3,0,7,313,244,183.557931,200.141975,200.218342,183.5131,183.529487,316.962108,3,3,2,3,2,3,f,1,735.168227
