type,stimulusNo,sentence,probe,CorrAns,pType,cType,gType
5,150,린아가 점점 더 효율적인 방법을 요구했다,린아가 요구한 것은 방법이다.,j,1,2,4
3,151,소영이가 인수가 전화를 건 목적을 밝혔다,인수가 건 것은 전화다.,j,1,1,3
5,152,한규가 용성이가 포기한 원인을 밝히고자 노력했다,노력한 사람은 용성이다.,f,3,2,1
5,153,희영이가 준탁이한테 직접적으로 엄청난 영향을 끼쳤다,희영이가 끼친 것은 엄청난 영향이다.,j,1,0,3
5,154,다솜이가 이번에도 아프다는 뻔한 핑계를 댔다,다솜이가 댄 것은 핑계다.,j,1,1,4
5,155,연아가 가끔씩 올바른 제도의 필요성을 무시했다,연아가 무시한 것은 제도의 필요성이다.,j,1,2,4
5,156,지선이가 모든 환자에게 일일이 연락을 취했다,지선이가 연락을 취했다.,j,2,0,4
2,157,미애가 의혹을 제기하고 영철이가 영상을 제출했다,미애가 의혹을 제기했다.,j,2,2,3
2,158,종현이가 길이를 재고 민혜가 물건을 살펴봤다,종현이가 길이를 살펴봤다.,f,5,1,2
2,159,선영이가 이불을 덮고 다혜가 불을 켰다,불을 켠 사람은 다혜다.,j,0,1,0
5,160,정연이가 문주에게 한국 민주화의 역사를 가르쳤다,민주화의 역사를 가르친 사람은 문주다.,f,3,1,0
7,161,재선이가 여행 계획에 대한 오해 때문에 하루 종일 일행과 다퉜다,재선이가 일행과 다퉜다.,j,,,
2,162,하늬가 제목을 짓고 희재가 구성을 짰다,하늬가 제목을 읽었다.,f,8,3,3
3,163,영환이가 수정이가 버스를 탄 날짜를 확인했다,수정이가 날짜를 확인했다.,f,3,0,2
3,164,민수가 현지가 쓰레기를 버린 복도를 걸어갔다,민수가 복도를 걸어갔다.,j,2,3,2
5,165,준수가 경영과 관련된 어려운 개념을 이해했다,준수가 이해한 것은 어려운 개념이다.,j,1,2,5
3,166,규리가 예진이가 신호를 보낸 결과를 기대했다,신호를 보낸 사람은 지숙이다.,f,6,2,0
5,167,동규가 전형적인 유형의 고전 소설을 공부했다,동규가 공부한 것은 현대 예술이다.,f,7,2,5
5,168,슬현이가 희정이와 함께 놀라운 경험을 겪었다,놀라운 경험을 겪은 사람은 슬현이다.,j,0,0,0
7,169,동네에서 영어 실력으로 유명한 소년이 그날 친구가 맞춘 문제를 틀렸다,문제를 틀린 사람은 친구다.,f,,,
3,170,승현이가 경수가 다리를 다친 장소를 기억했다,장소를 기억한 사람은 승현이다.,j,0,1,1
7,171,팀별 회의에서 새로운 회계 전문가가 현재 회사의 재무 상황을 보고했다,회계 전문가가 상황을 물었다.,f,,,
5,172,성보가 병의 다양한 증상을 한꺼번에 나타냈다,성보가 나타낸 것은 감정이다.,f,8,3,5
5,173,솔희가 신고 끝에 회장과 합의에 이르렀다,솔희가 이른 곳은 마을이다.,f,8,3,4
3,174,성훈이가 미정이가 위치를 말한 공원을 지나쳤다,위치를 말한 사람은 미정이다.,j,0,0,2
5,175,찬우가 까다로운 실험을 빠르고 체계적으로 진행했다,찬우가 진행한 것은 발표다.,f,8,3,5
1,176,현정이가 약을 발라준 태호가 컴퓨터를 켰다,현정이가 발라준 것은 약이다.,j,1,1,3
1,177,용호가 커피를 타준 진아가 음악을 틀었다,진아가 음악을 틀었다.,j,2,3,2
5,178,남주가 제사 때마다 전통적인 형식을 갖췄다,남주가 갖춘 것은 열정이다.,f,7,2,4
5,179,범재가 대회에서 사고로 운동에 자신감을 잃었다,자신감을 잃은 사람은 현규다.,f,6,2,5
3,180,윤아가 도현이가 주장을 거절한 의도를 의심했다,도현이가 거절한 것은 식사다.,f,7,2,3
2,181,재영이가 서류를 정리하고 혜연이가 질문을 했다,서류를 정리한 사람은 혜연이다.,f,3,0,2
5,182,형미가 당당히 공연 무대 위로 올라갔다,무대 위로 올라간 사람은 주혜다.,f,6,2,4
4,183,성일이가 순영이가 거래를 원하자 가격을 높였다,거래를 원한 사람은 순영이다.,j,0,0,2
3,184,옥순이가 예은이가 값을 치른 차를 마셨다,값을 치른 사람은 예은이다.,j,0,0,0
7,185,이틀 전에 몹시 답답한 엄마가 조심스럽게 친척들이 노려보는 이유를 물었다,엄마가 물은 것은 노려본 이유다.,j,,,
2,186,소희가 환자를 보호하고 성현이가 치료를 시작했다,소희가 보호한 것은 동물이다.,f,7,2,3
1,187,정숙이가 위로를 한 선희가 동작을 멈췄다,동작을 멈춘 사람은 선희다.,j,0,1,0
5,188,혜련이가 수업 도중에 자연스럽게 대화를 주고받았다,혜련이가 주고받은 것은 대화다.,j,1,1,4
5,189,은설이가 친구를 데려와 함께 노인을 일으켰다,은설이가 일으킨 사람은 친구다.,f,4,0,4
5,190,선규가 또다시 현아가 말한 광고를 잊었다,광고를 잊은 사람은 현아다.,f,3,3,2
1,191,종태가 말을 건 영호가 고개를 돌렸다,종태가 말을 걸었다.,j,2,3,1
5,192,수희가 찾아간 시정이가 프랑스 노래를 불렀다,노래를 부른 사람은 수희다.,f,3,2,0
1,193,상호가 가입을 시켜준 진주가 회의를 참석했다,진주가 회의를 잊었다.,f,8,3,2
1,194,서영이가 재료를 얻어준 지연이가 작품을 끝냈다,재료를 얻어준 사람은 지연이다.,f,3,0,0
5,195,승기가 지금까지와 전혀 다른 심정을 겪었다,승기가 겪은 것은 사고다.,f,7,2,5
5,196,미령이가 유명한 기자를 불러 목사를 가리켰다,미령이가 가리킨 것은 기자다.,f,4,0,4
5,197,혜슬이가 그때부터 과학을 좋아하고 문학을 싫어했다,혜슬이가 싫어한 것은 과학이다.,f,4,0,4
5,198,미연이가 무서운 선생님 앞에서 조용히 중얼거렸다,중얼거린 사람은 미연이다.,j,0,0,4
5,199,대영이가 진혁이의 부족한 요리 실력을 감안했다,대영이가 요리 실력을 감안했다.,j,2,0,1
5,200,보검이가 땀을 흘리고 시원한 우유를 마셨다,보검이가 우유를 흘렸다.,f,5,1,5
5,201,진구가 잠자리에 들기 전에 일기를 작성했다,진구가 작성한 것은 보고서다.,f,7,2,5
5,202,희선이가 매우 자연스런 동작으로 앞으로 걸어갔다,앞으로 걸어간 사람은 여진이다.,f,6,1,4
5,203,규화가 귀한 술잔을 꽤나 쉽게 구입했다,규화가 구입한 것은 술잔이다.,j,1,2,4
5,204,건수가 마련한 김치를 아름이가 요리에 활용했다,김치를 활용한 사람은 건수다.,f,3,2,2
3,205,승아가 상주가 공포를 극복한 배경을 살폈다,상주가 극복한 것은 가난이다.,f,7,3,0
4,206,성민이가 지아가 식탁을 닦자 우유를 가져갔다,지아가 식탁을 가져갔다.,f,5,1,2
4,207,준희가 윤재가 술을 쏟자 시선을 피했다,윤재가 술을 마셨다.,f,8,3,1
3,208,은서가 지혜가 대회를 떨어진 이유를 분석했다,지혜가 대회를 떨어졌다.,j,2,3,0
4,209,인화가 가람이가 나무를 오르자 야단을 쳤다,가람이가 오른 것은 건물이다.,f,7,2,3
5,210,혜정이가 제일 유리한 조건으로 계약을 제시했다,계약을 제시한 사람은 혜정이다.,j,0,0,4
3,211,지수가 종호가 여행을 떠난 마을을 피했다,지수가 마을을 피했다.,j,2,3,3
5,212,한수가 갑작스런 비에 젖은 머리를 감았다,한수가 감은 것은 팔이다.,f,8,3,5
4,213,성미가 찬수가 사업을 실패하자 전략을 고민했다,성미가 전략을 고민했다.,j,2,3,3
1,214,가희가 호감을 가진 광호가 학교를 쉬었다,광호가 학교를 쉬었다.,j,2,3,3
7,215,태형이가 다행히 그날 부하 직원들에게 충분한 금액의 보상을 분명히 약속했다,태형이가 약속한 것은 보상이다.,j,,,
5,216,한구가 딱딱한 분위기 속에서 농담을 던졌다,한구가 농담을 던졌다.,j,2,3,5
5,217,인영이가 금방 여러 사건들을 잇따라 이야기했다,인영이가 사건들을 이야기했다.,j,2,0,4
3,218,연지가 은정이가 미국을 간 사실을 깨달았다,은정이가 간 곳은 미국이다.,j,1,2,0
5,219,해윤이가 해외 진출을 통해 위상을 강화했다,위상을 강화한 사람은 해윤이다.,j,0,1,4
5,220,영우가 김치 유통으로 최대의 이윤을 남겼다,이윤을 남긴 사람은 종규다.,f,6,2,5
3,221,명희가 현수가 범죄를 저지른 입장을 이해했다,명희가 입장을 이해했다.,j,2,3,3
